propid,createdate,propfor,proptitle,propdesc,projid,blkid,price,userid,propcat,proptype,propsize,sizeunit,category,opensite,frontface,backface,floor,housetype,furnished,bedrooms,videopath,transfer,urlid,entered_by,referred_by,recstatus,recdate,actstatus,pricetype,roadid,salestatus,adtype,catid,temp_loc,temp_road,temp_area,consage,conscond,reasondesc,showprice,social
1557,2021-09-12 08:46:37,Sale,Kingdom Valley Islamabad registered Naya Pakistan housing sechme 03009125931,"Kingdom Valley Islamabad 
03009125931
There is a big opportunity to book your plot in NOC APPROVED project Kingdom Valley. An emerging NOC-approved project Kingdom Valley gives a great offer for you all. There is a big offer for 8 marla plot.
Total Amount 1350000
Down payment 130000
Monthly Installment 12000

? Discount Offer:

12 monthly Installments Will be waived off on First 100 registrations. 

So hurry Up! Book your Plot and avail the big discount. 

? Location:

It is located near New Islamabad Airport and Chakri Interchange 
M2. The distance from other prominent places is the following.
? 10 minutes away from Rawalpindi Cadet College.
? 5 km away from Rawalpindi Ring Road
? 5 km from Thalian Interchange at Lahore-Islamabad Motorway
? 4 km drive away from the Chakri Interchange on Lahore-Islamabad Motorway M-2.

For More Information kindly contact:
???? 03009125931
Feel free to ask any queries.
",525,995,975000,980,Residential,Plot,5,Marla,General,East Open,Plots,Apartment,None,None,N,0,,,5-marla-plot-for-sale-kingdom-valley-islamabad-chakri-road-rawalpindi-980-1557,980,ok,U,2021-09-12 09:01:36,Y,Total Price,1748,E,N,1,Islamabad,52,34,New,Normal,"",Y,Y
1558,2021-09-12 13:50:49,Sale,80 YARDS RESIDENTIAL PLOT FOR SALE IN TAISER TOWN SECTOR 80,"We are selling plot in Taiser Town sector 80. The details are given below:

Size = 80 sq yards
Sector = 80 
Sub-sector = 4
Scheme = MDA 45
Phase = 1
Facilities = Facing 30 FT road and park facing. 
Price is negotiable. Interested parties contact us. Time wasters and estate agents stay away from this post. 

Regards",98,453,720000,841,Residential,Plot,80,Sqy,General,East Open,Plots,Plots,None,None,N,0,,,80-sqy-plot-for-sale-taiser-town-phase-i-scheme-45-karachi-841-1558,841,okk,U,2021-09-12 17:10:42,D,Total Price,1747,E,N,1,Sharah-e-Taiser.,30,15,New,Normal,"",Y,Y
1559,2021-09-12 13:52:34,Sale,84 YARDS RESIDENTIAL PLOT FOR SALE IN TAISER TOWN SECTOR 81,"We are selling plot in Taiser Town sector 81. The details are given below:

Size = 84 sq yards
Sector = 81
Sub-sector = 4
Scheme = MDA 45
Phase = 1
Facilities = Facing 40 FT road (sandwich plot)
Near to Shahrah-e-Taiser.
Price is negotiable. Interested parties contact us. Time wasters and estate agents stay away from this post. 

Regards",98,454,530000,841,Residential,Plot,84,Sqy,General,East Open,Plots,Plots,None,None,N,0,,,84-sqy-plot-for-sale-taiser-town-phase-i-scheme-45-karachi-841-1559,841,ok,U,2021-09-12 17:10:09,D,Total Price,1747,E,W,1,Near to Shahrah-e-Taiser,30,15,New,Normal,"",Y,Y
1560,2021-09-13 19:47:48,Sale,200 YARDS PLOT FOR SALE IN GULISTAN-E-JOHAR Block 8,I HAVE SALE MY PLOT IN GULISTAN E JOHAR BLOCK 8 BOUNDRY WALL PLOT,184,432,6500000,989,Residential,Plot,200,Sqy,General,East Open,Homes,Plots,None,None,N,0,,,200-sqy-plot-for-sale-gulistan-e-johar-block-8-gulistan-e-johar-karachi-989-1560,989,ok,U,2021-09-14 06:26:02,Y,Total Price,1746,E,W,1,GULISTAN E JOHAR BLOCK 8 ,24,3,New,Normal,"",Y,Y
1561,2021-09-14 05:21:39,Sale,Taiser Town Sec 88/2 on 160ft Road Facing,"Taiser Town phase 1
Sec 88/2
120 yrds
Main 160ft Road Facing
Full paid Allotment
Demand 30 lacs
For offering Confirm offer 

Contact here 0332-2599654",98,455,3000000,392,Residential,Plot,120,Sqy,General,West Open,Main Road,Plots,None,None,N,0,,,120-sqy-plot-for-sale-taiser-town-phase-i-scheme-45-karachi-392-1561,392,ok,U,2021-09-14 06:27:18,Y,Total Price,1754,E,W,38,Taiser Town Scheme 45,160,15,New,Normal,"",Y,Y
1562,2021-09-14 09:04:49,Sale,Commercial Shop in New Jodia Bazar on Easy Installments,"Golden Chance for Shop keepers, investors, Businessmen etc.
40, 60, 100 Square Yard Single Story, double Story Commercial Shops,
Commercial Plot,
500, 1000, 2000 SQY Commercial Warehouses.

40 SQY Shop Booking Start fRom 250,000

2, 3, 5 Years Easy Installments.
For further information Contact 
+92 315 8313172 ",70,241,250000,990,Commercial,Shop,100,Sqy,Corner,East Open,Commercial,Commercial,None,None,N,0,,,100-sqy-shop-for-sale-northern-bypass-scheme-45-karachi-990-1562,990,ok,U,2021-09-14 15:18:44,Y,Own Price,1746,E,W,15,New Jodia Bazar Scheme 45 Northern Bypass Karachi.,100,15,New,Normal,"",Y,Y
1563,2021-09-14 09:10:44,Sale,Pearl Residency 120 Square Yard RESIDENTIAL PLOT ON EASY INSTALLMENT,"Your search ends with this Residential Plots. All kinds of properties are available for sale in various cities, depending on where you want to settle. This property will prove to be the perfect space for you to invest some (or all) of your future in. Hurry up, and secure your property at an amazing price of Rs. 450,000. A comfortable life awaits you in Pearl Residency - Block A, surrounded by all kinds of facilities. Karachi, the upcoming real estate market of Pakistan.  What more this property has to tell you is written below. The property is safe and secure with security measures including a boundary wall to prevent trespassing. Safety is a top priority, so security staff will be available on the premise.  For further information, Contact +92 315 8313172",427,839,450000,990,Residential,Plot,120,Sqy,General,East Open,Plots,Apartment,None,None,N,0,,,120-sqy-plot-for-sale-pearl-residency-scheme-45-karachi-990-1563,990,ok,U,2021-09-14 15:17:22,Y,Own Price,1750,E,W,1,Pearl Residency Scheme 45 Northern Bypass Karachi.,60,15,New,Normal,"",Y,Y
1564,2021-09-14 19:53:48,Sale,120 yard west open one unit banglow for sale in Gulistan-e-Johar Block 19,"Prime location in Gulistane e jauhar block 19, near to Air port, market's, university, school. 
One unit leased banglow single belt west open , park facing and mosque.
03 bed along with attached bathroom, lounge, drawing room, car porch, open to sky area. Also Reserve car parking out side . Fully security and boundary wall project. No water problem",195,444,19000000,991,Residential,Home,120,Sqy,General,East Open,Plots,Apartment,None,Ground+1,N,5,,,120-sqy-home-for-sale-gulistan-e-johar-block-19-gulistan-e-johar-karachi-991-1564,991,ok,U,2021-09-15 09:13:15,Y,Total Price,1746,E,W,56,"Gulistane e jauhar, Block 19",24,3,New,Normal,"",Y,Y
1565,2021-09-16 04:38:30,Sale,120 sq yard residential plot  Pearl Residency,"Pearl Residency scheme 45

( Location )
"""" Main Northern bypass near Fizaiya housing and motor city and opposite to Attock pump """"

120 sq yard residential plot 
Block A

** Allocation confirmation boundary wall cost of land paid **
( Development work )
** Water and saverage done **
Boundary wall done 
Demarcation done 
Road work done 
Street lights and green belt done 
Site office and gate work completed",427,839,500000,992,Residential,Plot,120,Sqy,General,East Open,Plots,Plots,None,None,N,0,,,120-sqy-plot-for-sale-pearl-residency-scheme-45-karachi-992-1565,992,ok,U,2021-09-16 09:13:03,Y,Total Price,1746,E,W,1,"Pearl Residency scheme 45
"""" Main Northern bypass near Fizaiya housing and motor city and opposite to Attock pump """"",24,15,New,Normal,"",Y,Y
1566,2021-09-17 05:31:09,Sale,FALAKNAZ DREAMS Main Road 400 GHZ SB Commercial PLOT AVAIALABLE ON CASH,"FALAKNAZ DREAMS  Malir Main Road 400 GHZ SB Commercial PLOT AVAIALABLE ON CASH
Gniun Buyer Contact Call Only 0300-9252365",529,1007,4000000,983,Commercial,Plot,400,Sqy,Corner,East Open,Plots,Park,None,None,N,0,,,400-sqy-plot-for-sale-falaknaz-dreams-malir-town-karachi-983-1566,983,ok,U,2021-09-17 07:29:07,Y,Total Price,1751,E,W,1,Falaknaz Dreams Malir Memon Goth Road Opposit Ali-ze Garden  ,80,40,New,Normal,"",Y,Y
1567,2021-09-17 16:55:29,Sale,200 square yard  3 bed D/D  portion first floor PECHS Block2 ,"PECHS Block2 NEAR MODEL SCHOOL 
Portion is available for Sale.
200 square yard  3 bed D/D  portion first floor pechs block2 near Ranger office 

location 2 crore 10 lac

our commission 2% fix. . 

iftikhar ahmed. . . . . . . . . . ifti
. . . 0.3. 0.0. . . . 3.3. 8.7,8.6. 8. .",222,549,21000000,993,Residential,Portion,200,Sqy,General,West Open,Homes,Apartment,1st,None,N,3,,,200-sqy-portion-for-sale-pechs-block-2-pechs-karachi-993-1567,993,ok,U,2021-09-17 19:53:52,Y,Total Price,1746,E,W,2,"Block 2 , P.E.C.H.S. NEAR MODEL SCHOOL",24,19,New,Normal,"",Y,Y
1568,2021-09-18 07:49:17,Sale,80 yard plot for sale in Taiser Towen Sector 25,"Taiser town Phase 2 sector. . 25 x. 562. L 80 yard , 40000 paid , demand 3.85 lac WITH ALLOTMENT AND MDA STATEMENT for best investment

All files confirm 100% iftikhar",199,463,390000,993,Residential,Plot,80,Sqy,General,West Open,Plots,Plots,None,None,N,0,,,80-sqy-plot-for-sale-taiser-town-phase-ii-scheme-45-karachi-993-1568,993,ok,U,2021-09-18 07:53:03,Y,Total Price,1746,E,N,2,Taiser town Phase 2 sector. . 25 x. 562. L 80 yard,24,15,New,Normal,"",Y,Y
1569,2021-09-20 07:05:34,Sale,3 5 10 marla and 1 kanal Residential plots available for sale ,"3 5 10 marla and 1 kanal Residential plots available for sale in Mustafa Garden Phase III Lahore. A project by Kamyab Developer
An ideal place for living and investment near Kalashah Kaku Interchange
Offer plots on easy monthly installments
Get 10% discount on Full Down Payment

Contact for Details
M Awan
03095928248

",536,1024,1400000,995,Residential,Plot,5,Marla,General,West Open,Plots,Apartment,None,None,N,0,,,5-marla-plot-for-sale-mustafa-garden-eastern-bypass-lahore-995-1569,995,ok,U,2021-09-23 18:47:00,D,Total Price,1746,E,W,1,"Mustafa Garden Phase 3,Lahore ",24,96,New,Normal,"",Y,Y
1570,2021-09-22 18:47:26,Sale,400 sq yards outclass plot for sale in Block 8 Gulistan-e-Johar,"A beautiful location plot is for sale in Gulistan-e-Jauhar, Block-8 in AEECHS society Karachi. 

About AEECHS society:

* There are 5 main Excess to enter the society 
* Society is infront of block 6,7 and 9
* Inner society streets are 40-60 wide
* 200 feet wide road across the society
* Water, Gas, Sewerage, Electricity, Roads.
* Secure polution free family atmosphere
* A well developed society in Gulistan-e-Jauhar, Karachi.
* Secure investment

You can't find in this price a 600 yards plot else where in Gulistan-e-Jauhar

About the property:

* Park face
* Near to Masjid
* Near to Imam bargha
* Registered with FBR
* Gas
* Water
* K-Electric
* Sewerage
* Roads

The property is registered with FBR since 20 years, therefore buyer don't need to pay property transfer TAX. 
Property Records Owner names can be checked anytime at FBR. Best time to make a house or invest it for your children future.

For more information, please contact me at earliest. 

Contact: Muhammed Usman

Visiting Timings: 10:30 am to 6:00 pm",184,1023,25000000,998,Residential,Plot,400,Sqy,Corner,East Open,Plots,Homes,None,None,N,0,,,400-sqy-plot-for-sale-gulistan-e-johar-block-8-gulistan-e-johar-karachi-998-1570,998,ok,U,2021-09-23 02:19:02,Y,Total Price,1748,E,L,19,"AEECHS Society lock-8, Gulistan-e-Jauhar",40,3,New,Normal,"",Y,Y
1571,2021-09-22 23:56:46,Sale,Taiser Town Sector 28 A 120 Square yard for sale,"Taiser Town sector 28 A
Available For Sale
1.50 lacs paid
Mda Video Statement
03310273753",199,1005,650000,999,Residential,Plot,120,Sqy,General,West Open,Plots,Plots,None,None,N,0,,,120-sqy-plot-for-sale-taiser-town-phase-ii-scheme-45-karachi-999-1571,999,ok,U,2021-09-23 02:16:53,Y,Total Price,1746,E,W,2,Taiser Town Sector 28 A,24,15,New,Normal,"",Y,Y
1572,2021-09-23 07:09:37,Sale,KIngdom Valley Islamabad Plot For Sale only in 117000,"We are offering,
Kingdom Valley Islamabad
First Housing Scheme of Pakistan Approved from Naya Pakistan 

Alhamdulilah !! 

* Kingdom Valley is Approved from PHATA [Punjab Housing And Town Planning Agency) 
* NOC No: DRG/PHATA/2176/2021 - Dated: 29-04-21

**Location: 
1-Km from Chakri Interchange, main M2 Motorway.
• 15 minutes drive from Islamabad.
• 8 to 10 minutes drive from New Islamabad Airport.

> 15,000 kanals proposed project of 5 Marla, 10 Marla & 1 Kanal residential and 2 Kanal, 4 Kanal & 8 Kanal Farmhouses.
> Project on CPEC road Islamabad
> 6 km away from announced Fatima Jinnah University Islamabad
> 5 km away from announced P.C Hotel near Islamabad airport.
> 2 minutes from announced Rawalpindi ring road interchange.
> Near to proposed Educational Expo Centre Islamabad.
> 20% of society area is reserved for P.M NAYA PAKISTAN Housing Scheme.  
> Almost double capital gain expected in coming 1 to 2 years.

5-MARLA DISCOUNT OFFER 
Offering 4 years easy installments plan 

Current Price : 975,000",525,995,117000,1000,Residential,Plot,5,Marla,General,East Open,Plots,Plots,None,None,N,0,,,5-marla-plot-for-sale-kingdom-valley-islamabad-chakri-road-rawalpindi-1000-1572,1000,oik,U,2021-09-23 10:18:34,D,Own Price,1746,E,W,1,"Kingdom Valley Islamabad,1Km From Chakri interchange M2",150,34,New,Normal,"",Y,Y
1573,2021-09-23 12:46:24,Sale,KIngdom Valley Islamabad Plot For Sale only in 117000,"We are offering,
Kingdom Valley Islamabad????
First Housing Scheme of Pakistan Approved from Naya Pakistan ????????

Alhamdulilah !! 

? Kingdom Valley is Approved from PHATA [Punjab Housing And Town Planning Agency) 
? NOC No: DRG/PHATA/2176/2021 - Dated: 29-04-21

???? Location: 
1-Km from Chakri Interchange, main M2 Motorway.
• 15 minutes drive from Islamabad.
• 8 to 10 minutes drive from New Islamabad Airport.

> 15,000 kanals proposed project of 5 Marla, 10 Marla & 1 Kanal residential and 2 Kanal, 4 Kanal & 8 Kanal Farmhouses.
> Project on CPEC road Islamabad
> 6 km away from announced Fatima Jinnah University Islamabad
> 5 km away from announced P.C Hotel near Islamabad airport.
> 2 minutes from announced Rawalpindi ring road interchange.
> > Near to proposed Educational Expo Centre Islamabad.
> 20% of society area is reserved for P.M NAYA PAKISTAN Housing Scheme.  
> Almost double capital gain expected in coming 1 to 2 years.

?? 5-MARLA DISCOUNT OFFER ????
?? Offering 4 years easy installments plan 

? Current Price : 975,000

Booking 117000",525,995,117000,1000,Residential,Plot,5,Marla,Corner,West Open,Park,Commercial,None,None,N,0,,,5-marla-plot-for-sale-kingdom-valley-islamabad-chakri-road-rawalpindi-1000-1573,1000,ok,U,2021-09-23 18:30:09,Y,Own Price,1746,E,W,1,Kingdom Valley Approved From pakistan Housing & Town Planning Agency,150,34,New,Normal,"",Y,Y
1574,2021-09-23 18:24:34,Sale,125 sq yrds Plot for Sale in Ali Block Bahria Town Karachi,"Peaceful location in Ali block bahria town ...
125 sq yrds Plot for Sale in Ali Block Bahria Town Karachi
Full paid
All dues cleared
",1,12,7000000,1001,Residential,Plot,125,Sqy,General,West Open,Plots,Plots,None,None,N,0,,,125-sqy-plot-for-sale-bahria-town-karachi-bahria-town-karachi-karachi-1001-1574,1001,ok,U,2021-09-23 18:31:55,D,Own Price,1748,E,W,2,Bahria town karachi,28,11,New,Normal,"",Y,Y
1575,2021-09-23 18:29:54,Sale,125 Yards Semi Corner Plot for Sale in Ali Block Bahria Town Karachi,"Plot available for sale in Precinct 12 Ali Block Bahria Town Karachi
125sq yds in ali block 
Loop road
Semi corner",1,12,9500000,1001,Residential,Plot,125,Sqy,General,West Open,Plots,Apartment,None,None,N,0,,,125-sqy-plot-for-sale-bahria-town-karachi-bahria-town-karachi-karachi-1001-1575,1001,ok,U,2021-09-23 18:34:42,D,Own Price,1748,E,W,10,"Bahria town karachi
Loop road
Semi corner",25,11,New,Normal,"",Y,Y
1576,2021-09-23 18:45:58,Sale,400 sq yd plot for sale in gulistan e johar block 16,"400 sq yd plot for sale in Block 16, Gulistan e Johar Karachi
West open corner plot behind Safari park 
Peacefull environment.",192,440,50000000,1001,Residential,Plot,400,Sqy,General,West Open,Plots,Plots,None,None,N,0,,,400-sqy-plot-for-sale-gulistan-e-johar-block-16-gulistan-e-johar-karachi-1001-1576,1001,ok,U,2021-09-23 18:49:44,D,Total Price,1747,E,N,2,Gulistan e johar block 16,25,3,New,Normal,"",Y,Y
1577,2021-09-23 18:52:01,Sale,250 sq yds plot for sale in Sindh Small Industries Karachi,"West open plot for sale in SINDH SMALL INDUSTRY project by sindh gov
250 sq yds
-OLD BAILOTING
-MAP PASSED
WATER AVAILABLE 24/7
Near gulshan e maymar
Sindh small industry",537,1025,6000000,1001,Commercial,Plot,250,Sqy,General,East Open,Plots,Plots,None,None,N,0,,,250-sqy-plot-for-sale-sindh-small-industry-corporation-scheme-45-karachi-1001-1577,1001,ok,U,2021-09-24 20:44:06,D,Total Price,1746,E,N,1,"Near gulshan e maymar
Sindh small industry",24,15,New,Normal,"",Y,Y
1578,2021-09-23 18:54:10,Sale,250 sq yds plot for sale,"Old bailoting
Road facing plot available at a very peaceful environment",1,1,6000000,1001,Commercial,Plot,250,Sqy,General,East Open,Plots,Apartment,None,None,N,0,,,"",1001,ok,U,2021-09-23 18:55:37,D,Total Price,1746,E,N,1,Neqr gulshan e maymar karachi,25,11,New,Normal,Details of area is not mentioned completely. Pl sector / block of gulshan-e-maymar,N,Y
1579,2021-09-23 22:04:33,Sale,SINDH SMALL INDUSTRY...250 sq yds plot for sale,"Old bailoting
Map passed
Water facilities 24/7 
",537,1025,6000000,1001,Commercial,Plot,250,Sqy,General,East Open,Plots,Apartment,None,None,N,0,,,250-sqy-plot-for-sale-sindh-small-industry-corporation-scheme-45-karachi-1001-1579,1001,ok,U,2021-09-24 20:46:06,D,Total Price,1746,E,N,1,SINDH SMALL INDUSTRY,24,15,New,Normal,"",Y,Y
1580,2021-09-23 22:10:10,Sale,SINDH SMALL INDUSTRY....250 sq yds plot for sale,"Road facing plot
Road bailoting available at a reasonable price.
We Request That Only Serious Individuals Contact Us To Make An Immediate Deal.",537,1025,6000000,1001,Commercial,Plot,250,Sqy,General,East Open,Plots,Plots,None,None,N,0,,,250-sqy-plot-for-sale-sindh-small-industry-corporation-scheme-45-karachi-1001-1580,1001,ok,U,2021-09-24 20:47:10,D,Total Price,1746,E,N,1,SINDH SMALL INDUSTRY,25,15,New,Normal,"",Y,Y
1581,2021-09-24 19:39:38,Sale,500 yards Plot for Sale in Precinct 4 Bahria Town Karachi,"Bahria Town Karachi Precinct 4 
Level and vip plot for sale
275 series
All paid
Constructions going on beside plot
Investor rate",1,4,19000000,1002,Residential,Plot,500,Sqy,General,West Open,Plots,Plots,None,None,N,0,,,500-sqy-plot-for-sale-bahria-town-karachi-bahria-town-karachi-karachi-1002-1581,1002,ok,U,2021-09-24 19:47:30,Y,Total Price,1748,E,L,2,Precient 4,20,11,New,Normal,"",Y,Y
1582,2021-09-24 21:30:19,Sale,80 sq yards plot for sale in Sector 72-4 Taiser Town Phase 1,"Sector 72 Sub Sector 4 Taiser Town Phase 1
80 Yards Plot for Sale
Plot No. L125-130 near 100ft road
40,000 Paid 
Without Allotment
Booking Slip missing (copy available) - CTC not applied
Demand 5.40 Lac Negotiable",98,448,540000,512,Residential,Plot,80,Sqy,General,West Open,Plots,Plots,None,None,N,0,,,80-sqy-plot-for-sale-taiser-town-phase-i-scheme-45-karachi-512-1582,2,Abdullah 310 3194347,U,2021-09-24 21:57:08,Y,Total Price,1747,E,L,2,72-4,30,15,New,Normal,"",Y,Y
1583,2021-09-24 21:33:30,Sale,120 yards Plot for Sale in Sector 17B Taiser Town Phase 2,"Sector 17B Taiser Town Phase 2 
120 Yards
Plot No. 130-135 
120 Paid 
Without Allotment
Good location on 40 ft road facing
Demand 4.70 Lac Negotiable",199,458,470000,512,Residential,Plot,120,Sqy,General,West Open,Wide Road,Plots,None,None,N,0,,,120-sqy-plot-for-sale-taiser-town-phase-ii-scheme-45-karachi-512-1583,2,Iqbal Siddiqui,U,2021-09-24 21:55:42,Y,Total Price,1748,E,W,10,17B,40,15,New,Normal,0322 2681101,Y,Y
1584,2021-09-25 04:49:06,Sale,Residential plot for sale in taiser town sector 73,"I am selling my plot in Taiser Town sector 73. The details are given below:

Size = 80 sq yards
Sector = 73
Sub-sector = 4
Scheme = MDA 45
Phase = 1
Facilities = Corner, near to park, located on 30 ft road and also near to 100 ft wide main road. 
Price is negotiable. Interested parties contact us. Time wasters and estate agents stay away from this post. 

Regards",98,449,900000,841,Residential,Plot,80,Sqy,Corner,West Open,Park,Plots,None,None,N,0,,,80-sqy-plot-for-sale-taiser-town-phase-i-scheme-45-karachi-841-1584,841,ok,U,2021-10-10 19:02:35,D,Total Price,1747,E,N,16,Taiser Town,30,15,New,Normal,"",Y,Y
1585,2021-09-25 06:04:42,Sale,KIngdom Valley Islamabad Plot For Sale only in 110000,"We are offering,
Kingdom Valley Islamabad????
First Housing Scheme of Pakistan Approved from Naya Pakistan 

Alhamdulilah !! 

? Kingdom Valley is Approved from PHATA [Punjab Housing And Town Planning Agency) 
? NOC No: DRG/PHATA/2176/2021 - Dated: 29-04-21

???? Location: 
1-Km from Chakri Interchange, main M2 Motorway.
• 15 minutes drive from Islamabad.
• 8 to 10 minutes drive from New Islamabad Airport.

> 15,000 kanals proposed project of 5 Marla, 10 Marla & 1 Kanal residential and 2 Kanal, 4 Kanal & 8 Kanal Farmhouses.
> Project on CPEC road Islamabad
> 6 km away from announced Fatima Jinnah University Islamabad
> 5 km away from announced P.C Hotel near Islamabad airport.
> 2 minutes from announced Rawalpindi ring road interchange.
> > Near to proposed Educational Expo Centre Islamabad.
> 20% of society area is reserved for P.M NAYA PAKISTAN Housing Scheme.  
> Almost double capital gain expected in coming 1 to 2 years.

?? 5-MARLA DISCOUNT OFFER ????
?? Offering 4 years easy installments plan 

? Current Price : 975,000 
? Installment : 9000 per month",525,995,110000,1000,Residential,Plot,5,Marla,General,West Open,Main Road,Park,None,None,N,0,,,5-marla-plot-for-sale-kingdom-valley-islamabad-chakri-road-rawalpindi-1000-1585,1000,ok,U,2021-09-25 19:07:49,Y,Own Price,1752,E,W,1,"Islamabad,Plot in kingdom valley for sale  ",120,34,New,Normal,"",Y,Y
1586,2021-09-26 05:37:34,Sale,3 Marla Residential Plot Available for sale in Mustafa Garden Lahore,"Good news for low-income and homeless people
* A beautiful and charming residential project in the cluster of societies
* Equipped with all basic facilities, electricity, water, gas, sewerage, school, park, mosque.
?20% discount for a limited time
* 10% special discount on cash payment
* Avoid the hassle of rented houses and build your own house
Monthly installments of 3 marla plots only 2000 thousand per marla

* Registry on the spot

Development work is in full swing
* Come quickly and get one of the rest of the house named after you. 

Contact for more information
0309 5928248 ",536,1024,1050000,995,Residential,Plot,3,Marla,General,West Open,Plots,Plots,None,None,N,0,,,3-marla-plot-for-sale-mustafa-garden-eastern-bypass-lahore-995-1586,995,ok,U,2021-09-26 07:16:50,D,Total Price,1746,E,N,2,Mustafa Garden ,12,96,New,Normal,"",Y,Y
1587,2021-09-26 05:54:49,Sale,10 Marla Residential Plot Available for sale in Mustafa Garden Lahore,"Good news for low-income and homeless people
* A beautiful and charming residential project in the cluster of societies
* Equipped with all basic facilities, electricity, water, gas, sewerage, school, park, mosque.
?20% discount for a limited time
* 10% special discount on cash payment
* Avoid the hassle of rented houses and build your own house
Monthly installments of 3 marla plots only 2000 thousand per marla

* Registry on the spot

Development work is in full swing
* Come quickly and get one of the rest of the house named after you. 

Contact for more information
0309 5928248 ",536,1024,3500000,995,Residential,Plot,10,Marla,General,West Open,Plots,Plots,None,None,N,0,,,10-marla-plot-for-sale-mustafa-garden-eastern-bypass-lahore-995-1587,995,ok,U,2021-09-26 07:16:12,D,Total Price,1746,E,W,2,Mustafa Garden Phase 3 ,12,96,New,Normal,"",Y,Y
1588,2021-09-26 14:35:02,Sale,200 yard plot For Sale in Rok CHS Scheme 33,"Rok cooperative housing society scheme 33
Urgent Sale
200 yard plot For sale
Transfer File
Demand 158
Contact 03152754531
03417675406",20,144,15800000,1005,Residential,Plot,200,Sqy,General,West Open,Homes,Park,None,None,N,0,,,200-sqy-plot-for-sale-rok-cooperative-housing-society-scheme-33-karachi-1005-1588,1005,ok,U,2021-09-26 18:23:30,Y,Total Price,1750,E,W,10,Rok coperative housing society scheme 33,60 fit,13,New,Normal,"",Y,Y
1589,2021-09-28 22:11:27,Sale,200 Yards plot for Sale in Al Qaim Midway City Super Highway Karachi,"Al Qaim Midway City
Covered Area boundry wall society

Plot No A1-2
200 Yards
40 Ft Road Facing
Confirmation letter issue
Allocation Issue
Allotment issue
West Open
Installment paid

Unpaid Development 220000/-

Main Highway per ASF City k barabar may ha

 *Demand 10 Lac* 

 *Society may her chez Apni Banay gi* 

 *Detail Below* 

Electric Power Plant
Water Plant
Patrol Pump
Prayer Areas
Parks
Shopping centre
Bus Stand
Bank's
Schools
Hospital**",256,603,1000000,1006,Residential,Plot,200,Sqy,General,West Open,Plots,Plots,None,None,N,0,,,200-sqy-plot-for-sale-al-qaim-midway-city-super-highway-karachi-karachi-1006-1589,1006,ok,U,2021-09-29 11:08:07,Y,Total Price,1748,E,W,10,"Al Qaim Midway City
Block A1
Plot 2",40,51,New,Normal,"",Y,Y
1591,2021-09-29 10:52:05,Sale,KIngdom Valley Islamabad Plot For Sale only in 90000,"kingdom Valley islamabad
5 marla
Down payment : 90000
Monthly Installment : 9000",525,995,90000,1000,Residential,Plot,5,Marla,Corner,East Open,Green Belt,Apartment,None,None,N,0,,,5-marla-plot-for-sale-kingdom-valley-islamabad-chakri-road-rawalpindi-1000-1591,1000,ok,U,2021-09-29 11:06:37,Y,Own Price,1746,E,W,1,"Rawalpindi, Kingdom Valley",150,34,New,Normal,"",Y,Y
1592,2021-09-30 07:47:26,Sale,Hadiara gardens Lahore housing scheme plot for sale only in 40000 per month,"Hadiara garden housing scheme plot for sale only in 40000 per month
Registry/inteqal
5 Minutes drive from Dha Phase 6
80 ft wide road
Society is on main Barki Road",538,1026,40000,1000,Residential,Plot,1125,Sqf,Corner,East Open,Green Belt,Plots,None,None,N,0,,,1125-sqf-plot-for-sale-hadiara-gardens-barki-road-lahore-1000-1592,1000,ok,U,2021-09-30 19:19:26,Y,Own Price,1751,E,N,1,"Main Barki rd,Lahore ",80,97,New,Normal,"",N,Y
1593,2021-09-30 10:58:24,Sale,3 Marla Residential Plot Available for sale in Al Rehman Gardens Phase 7,"Al-Rehman Garden Phase-7,Block C & D, Near Faiz Pur Interchange, Main Sharqpur Road, Lahore.

5 Year Installment Plan For 3 Marla

Price: 1,26,0000
Booking/Down Payment: 200,000
Monthly Installment: 12,000
Yearly: 50,000
Yearly Total(5): 250,000
Balloting: 90,000(After 1 Year)
Possession After 2 Years

Features Include:

LDA Approved Project
Main Boulevard 160 Ft Road
Grounded Electricity
Sui Gas
Sewerage
Water Supply Tanks
Parks & Playground
Central Ground Mosque
Community & Health Club
Gated Community
Patrol Security
24/7 Security.

Within 5 Years The price of porperty will Rise upto double from Now so it is Long Term Investment Plan.

You can call or WhatsApp for more detail on given number.
0309 5928248 ",539,1027,1260000,1009,Residential,Plot,3,Marla,General,East Open,Plots,Plots,None,None,N,0,,,3-marla-plot-for-sale-al-rehman-gardens-sharaqpur-road-lahore-1009-1593,1009,ok,U,2021-10-01 06:58:42,D,Total Price,1752,E,W,37,Al Rehman Garden Phase 7 ,160,48,New,Normal,"",Y,Y
